name,type,category,power,accuracy,pp,effect
Mind Reader,Normal,Status,,,5,User's next attack is guaranteed to hit.
Mirror Coat,Psychic,Special,,100,20,"When hit by a Special Attack, user strikes back with 2x power."
Moonlight,Fairy,Status,,,5,User recovers HP. Amount varies with the weather.
Morning Sun,Normal,Status,,,5,User recovers HP. Amount varies with the weather.
Mud-Slap,Ground,Special,20,100,10,Lowers opponent's Accuracy.
Nightmare,Ghost,Status,,100,15,The sleeping opponent loses 25% of its max HP each turn.
Octazooka,Water,Special,65,85,10,May lower opponent's Accuracy.
Outrage,Dragon,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.
Pain Split,Normal,Status,,,20,The user's and opponent's HP becomes the average of both.
Perish Song,Normal,Status,,,5,Any Pokémon in play when this attack is used faints in 3 turns.
Powder Snow,Ice,Special,40,100,25,May freeze opponent.
Present,Normal,Physical,,90,15,Either deals damage or heals.
Protect,Normal,Status,,,10,"Protects the user, but may fail if used consecutively."
Psych Up,Normal,Status,,,10,Copies the opponent's stat changes.
Pursuit,Dark,Physical,40,100,20,Double power if the opponent is switching out.
Rain Dance,Water,Status,,,5,Makes it rain for 5 turns.
Rapid Spin,Normal,Physical,50,100,40,Raises user's Speed and removes entry hazards and trap move effects.
Return,Normal,Physical,,100,20,Power increases with higher Friendship.
Reversal,Fighting,Physical,,100,15,"The lower the user's HP, the higher the power."
Rock Smash,Fighting,Physical,40,100,15,May lower opponent's Defense.
Rollout,Rock,Physical,30,90,20,Doubles in power each turn for 5 turns.
Sacred Fire,Fire,Physical,100,95,5,May burn opponent.
Safeguard,Normal,Status,,,25,The user's party is protected from status conditions.
Sandstorm,Rock,Status,,,10,Creates a sandstorm for 5 turns.
Scary Face,Normal,Status,,100,10,Sharply lowers opponent's Speed.
Shadow Ball,Ghost,Special,80,100,15,May lower opponent's Special Defense.
Sketch,Normal,Status,,,1,Permanently copies the opponent's last move.
Sleep Talk,Normal,Status,,,10,User performs one of its own moves while sleeping.
Sludge Bomb,Poison,Special,90,100,10,May poison opponent.
Snore,Normal,Special,50,100,15,Can only be used if asleep. May cause flinching.
Spark,Electric,Physical,65,100,20,May paralyze opponent.
Spider Web,Bug,Status,,,10,Opponent cannot escape/switch.
Spikes,Ground,Status,,,20,Hurts opponents when they switch into battle.
Spite,Ghost,Status,,100,10,The opponent's last move loses 2-5 PP.
Steel Wing,Steel,Physical,70,90,25,May raise user's Defense.
Sunny Day,Fire,Status,,,5,Makes it sunny for 5 turns.
Swagger,Normal,Status,,85,15,"Opponent becomes confused, but its Attack is sharply raised."
Sweet Kiss,Fairy,Status,,75,10,Confuses opponent.
Sweet Scent,Normal,Status,,100,20,Lowers opponent's Evasiveness.
Synthesis,Grass,Status,,,5,User recovers HP. Amount varies with the weather.
Thief,Dark,Physical,60,100,25,Also steals opponent's held item.
Triple Kick,Fighting,Physical,10,90,10,Hits thrice in one turn at increasing power.
Twister,Dragon,Special,40,100,20,May cause flinching. Hits Pokémon using Fly/Bounce with double power.
Vital Throw,Fighting,Physical,70,?,10,"User attacks last, but ignores Accuracy and Evasiveness."
Whirlpool,Water,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Zap Cannon,Electric,Special,120,50,5,Paralyzes opponent.
Aerial Ace,Flying,Physical,60,?,20,Ignores Accuracy and Evasiveness.
Air Cutter,Flying,Special,60,95,25,High critical hit ratio.
Arm Thrust,Fighting,Physical,15,100,20,Hits 2-5 times in one turn.
Aromatherapy,Grass,Status,,,5,Cures all status problems in your party.
Assist,Normal,Status,,,20,User performs a move known by its allies at random.
Astonish,Ghost,Physical,30,100,15,May cause flinching.
Blast Burn,Fire,Special,150,90,5,User must recharge next turn.
Blaze Kick,Fire,Physical,85,90,10,High critical hit ratio. May burn opponent.
Block,Normal,Status,,,5,Opponent cannot flee or switch.
Bounce,Flying,Physical,85,85,5,"Springs up on first turn, attacks on second. May paralyze opponent."
Brick Break,Fighting,Physical,75,100,15,Breaks through Reflect and Light Screen barriers.
Bulk Up,Fighting,Status,,,20,Raises user's Attack and Defense.
Bullet Seed,Grass,Physical,25,100,30,Hits 2-5 times in one turn.
Calm Mind,Psychic,Status,,,20,Raises user's Special Attack and Special Defense.
Camouflage,Normal,Status,,,20,Changes user's type according to the location.
Charge,Electric,Status,,,20,Raises user's Special Defense and next Electric move's power increases.
Cosmic Power,Psychic,Status,,,20,Raises user's Defense and Special Defense.
Covet,Normal,Physical,60,100,25,Opponent's item is stolen by the user.
Crush Claw,Normal,Physical,75,95,10,May lower opponent's Defense.
Dive,Water,Physical,80,100,10,"Dives underwater on first turn, attacks on second turn."
Doom Desire,Steel,Special,140,100,5,Damage occurs 2 turns later.
Dragon Claw,Dragon,Physical,80,100,15,
Dragon Dance,Dragon,Status,,,20,Raises user's Attack and Speed.
Endeavor,Normal,Physical,,100,5,Reduces opponent's HP to same as user's.
Eruption,Fire,Special,150,100,5,Stronger when the user's HP is higher.
Extrasensory,Psychic,Special,80,100,20,May cause flinching.
Facade,Normal,Physical,70,100,20,"Power doubles if user is burned, poisoned, or paralyzed."
Fake Out,Normal,Physical,40,100,10,"User attacks first, foe flinches. Only usable on first turn."
Fake Tears,Dark,Status,,100,20,Sharply lowers opponent's Special Defense.
Feather Dance,Flying,Status,,100,15,Sharply lowers opponent's Attack.
Flatter,Dark,Status,,100,15,"Confuses opponent, but raises its Special Attack by two stages."
Focus Punch,Fighting,Physical,150,100,20,"If the user is hit before attacking, it flinches instead."
Follow Me,Normal,Status,,,20,"In Double Battle, the user takes all the attacks."
Frenzy Plant,Grass,Special,150,90,5,User must recharge next turn.
Grass Whistle,Grass,Status,,55,15,Puts opponent to sleep.
Grudge,Ghost,Status,,,5,"If the users faints after using this move, the PP for the opponent's last move is depleted."
Hail,Ice,Status,,,10,Non-Ice types are damaged for 5 turns.
Heat Wave,Fire,Special,95,90,10,May burn opponent.
Helping Hand,Normal,Status,,,20,"In Double Battles, boosts the power of the partner's move."
Howl,Normal,Status,,,40,Raises Attack of allies.
Hydro Cannon,Water,Special,150,90,5,User must recharge next turn.
Hyper Voice,Normal,Special,90,100,10,
Ice Ball,Ice,Physical,30,90,20,Doubles in power each turn for 5 turns.
Icicle Spear,Ice,Physical,25,100,30,Hits 2-5 times in one turn.
Imprison,Psychic,Status,,,10,Opponent is unable to use moves that the user also knows.
Ingrain,Grass,Status,,,20,User restores HP each turn. User cannot escape/switch.
Iron Defense,Steel,Status,,,15,Sharply raises user's Defense.
Knock Off,Dark,Physical,65,100,20,Removes opponent's held item for the rest of the battle.
Leaf Blade,Grass,Physical,90,100,15,High critical hit ratio.
Luster Purge,Psychic,Special,70,100,5,May lower opponent's Special Defense.
Magic Coat,Psychic,Status,,,15,Reflects moves that cause status conditions back to the attacker.
Magical Leaf,Grass,Special,60,?,20,Ignores Accuracy and Evasiveness.
Memento,Dark,Status,,100,10,"User faints, sharply lowers opponent's Attack and Special Attack."
Metal Sound,Steel,Status,,85,40,Sharply lowers opponent's Special Defense.
Meteor Mash,Steel,Physical,90,90,10,May raise user's Attack.
Mist Ball,Psychic,Special,70,100,5,May lower opponent's Special Attack.
Mud Shot,Ground,Special,55,95,15,Lowers opponent's Speed.
Mud Sport,Ground,Status,,,15,Weakens the power of Electric-type moves.
Muddy Water,Water,Special,90,85,10,May lower opponent's Accuracy.
Nature Power,Normal,Status,,,20,Uses a certain move based on the current terrain.
Needle Arm,Grass,Physical,60,100,15,May cause flinching.
Odor Sleuth,Normal,Status,,,40,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Overheat,Fire,Special,130,90,5,Sharply lowers user's Special Attack.
Poison Fang,Poison,Physical,50,100,15,May badly poison opponent.
Poison Tail,Poison,Physical,50,100,25,High critical hit ratio. May poison opponent.
Psycho Boost,Psychic,Special,140,90,5,Sharply lowers user's Special Attack.
Recycle,Normal,Status,,,10,User's used hold item is restored.
Refresh,Normal,Status,,,20,"Cures paralysis, poison, and burns."
Revenge,Fighting,Physical,60,100,10,Power increases if user was hit first.
Rock Blast,Rock,Physical,25,90,10,Hits 2-5 times in one turn.
Rock Tomb,Rock,Physical,60,95,15,Lowers opponent's Speed.
Role Play,Psychic,Status,,,10,User copies the opponent's Ability.
Sand Tomb,Ground,Physical,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Secret Power,Normal,Physical,70,100,20,Effects of the attack vary with the location.
Shadow Punch,Ghost,Physical,60,?,20,Ignores Accuracy and Evasiveness.
Sheer Cold,Ice,Special,,30,5,"One-Hit-KO, if it hits."
Shock Wave,Electric,Special,60,?,20,Ignores Accuracy and Evasiveness.
Signal Beam,Bug,Special,75,100,15,May confuse opponent.
Silver Wind,Bug,Special,60,100,5,May raise all stats of user at once.
Skill Swap,Psychic,Status,,,10,The user swaps Abilities with the opponent.
Sky Uppercut,Fighting,Physical,85,90,15,"Hits the opponent, even during Fly."
Slack Off,Normal,Status,,,10,User recovers half its max HP.
Smelling Salts,Normal,Physical,70,100,10,"Power doubles if opponent is paralyzed, but cures it."
Snatch,Dark,Status,,,10,Steals the effects of the opponent's next move.
Spit Up,Normal,Special,,100,10,Power depends on how many times the user performed Stockpile.
Stockpile,Normal,Status,,,20,Stores energy for use with Spit Up and Swallow.
Superpower,Fighting,Physical,120,100,5,Lowers user's Attack and Defense.
Swallow,Normal,Status,,,10,"The more times the user has performed Stockpile, the more HP is recovered."
Tail Glow,Bug,Status,,,20,Drastically raises user's Special Attack.
Taunt,Dark,Status,,100,20,Opponent can only use moves that attack.
Teeter Dance,Normal,Status,,100,20,Confuses all Pokémon.
Tickle,Normal,Status,,100,20,Lowers opponent's Attack and Defense.
Torment,Dark,Status,,100,15,Opponent cannot use the same move in a row.
Trick,Psychic,Status,,100,10,Swaps held items with the opponent.
Uproar,Normal,Special,90,100,10,User attacks for 3 turns and prevents sleep.
Volt Tackle,Electric,Physical,120,100,15,User receives recoil damage. May paralyze opponent.
Water Pulse,Water,Special,60,100,20,May confuse opponent.
Water Sport,Water,Status,,,15,Weakens the power of Fire-type moves.
Water Spout,Water,Special,150,100,5,"The higher the user's HP, the higher the damage caused."
Weather Ball,Normal,Special,50,100,10,Move's power and type changes with the weather.
Will-O-Wisp,Fire,Status,,85,15,Burns opponent.
Wish,Normal,Status,,,10,The user recovers HP in the following turn.
Yawn,Normal,Status,,,10,Puts opponent to sleep in the next turn.
Acupressure,Normal,Status,,,30,Sharply raises a random stat.
Air Slash,Flying,Special,75,95,15,May cause flinching.
Aqua Jet,Water,Physical,40,100,20,User attacks first.
Aqua Ring,Water,Status,,,20,Restores a little HP each turn.
Aqua Tail,Water,Physical,90,90,10,
Assurance,Dark,Physical,60,100,10,Power doubles if opponent already took damage in the same turn.
Attack Order,Bug,Physical,90,100,15,High critical hit ratio.
Aura Sphere,Fighting,Special,80,?,20,Ignores Accuracy and Evasiveness.
Avalanche,Ice,Physical,60,100,10,Power doubles if user took damage first.
Brave Bird,Flying,Physical,120,100,15,User receives recoil damage.
Brine,Water,Special,65,100,10,Power doubles if opponent's HP is less than 50%.
Bug Bite,Bug,Physical,60,100,20,Receives the effect from the opponent's held berry.
Bug Buzz,Bug,Special,90,100,10,May lower opponent's Special Defense.
Bullet Punch,Steel,Physical,40,100,30,User attacks first.
Captivate,Normal,Status,,100,20,Sharply lowers opponent's Special Attack if opposite gender.
Charge Beam,Electric,Special,50,90,10,May raise user's Special Attack.
Chatter,Flying,Special,65,100,20,Confuses opponent.
Close Combat,Fighting,Physical,120,100,5,Lowers user's Defense and Special Defense.
Copycat,Normal,Status,,,20,Copies opponent's last move.
Cross Poison,Poison,Physical,70,100,20,High critical hit ratio. May poison opponent.
Crush Grip,Normal,Physical,,100,5,More powerful when opponent has higher HP.
Dark Pulse,Dark,Special,80,100,15,May cause flinching.
Dark Void,Dark,Status,,50,10,Puts all adjacent opponents to sleep.
Defend Order,Bug,Status,,,10,Raises user's Defense and Special Defense.
Defog,Flying,Status,,,15,Lowers opponent's Evasiveness and clears fog.
Discharge,Electric,Special,80,100,15,May paralyze opponent.
Double Hit,Normal,Physical,35,90,10,Hits twice in one turn.
Draco Meteor,Dragon,Special,130,90,5,Sharply lowers user's Special Attack.
Dragon Pulse,Dragon,Special,85,100,10,
Dragon Rush,Dragon,Physical,100,75,10,May cause flinching.
Drain Punch,Fighting,Physical,75,100,10,User recovers half the HP inflicted on opponent.
Earth Power,Ground,Special,90,100,10,May lower opponent's Special Defense.
Embargo,Dark,Status,,100,15,Opponent cannot use items.
Energy Ball,Grass,Special,90,100,10,May lower opponent's Special Defense.
Feint,Normal,Physical,30,100,10,Only hits if opponent uses Protect or Detect in the same turn.
Fire Fang,Fire,Physical,65,95,15,May cause flinching and/or burn opponent.
Flare Blitz,Fire,Physical,120,100,15,User receives recoil damage. May burn opponent.
Flash Cannon,Steel,Special,80,100,10,May lower opponent's Special Defense.
Fling,Dark,Physical,,100,10,Power depends on held item.
Focus Blast,Fighting,Special,120,70,5,May lower opponent's Special Defense.
Force Palm,Fighting,Physical,60,100,10,May paralyze opponent.
Gastro Acid,Poison,Status,,100,10,Cancels out the effect of the opponent's Ability.
Giga Impact,Normal,Physical,150,90,5,User must recharge next turn.
Grass Knot,Grass,Special,,100,20,"The heavier the opponent, the stronger the attack."
Gravity,Psychic,Status,,,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.
Guard Swap,Psychic,Status,,,10,User and opponent swap Defense and Special Defense.
Gunk Shot,Poison,Physical,120,80,5,May poison opponent.
Gyro Ball,Steel,Physical,,100,5,"The slower the user, the stronger the attack."
Hammer Arm,Fighting,Physical,100,90,10,Lowers user's Speed.
Head Smash,Rock,Physical,150,80,5,User receives recoil damage.
Heal Block,Psychic,Status,,100,15,Prevents the opponent from restoring HP for 5 turns.
Heal Order,Bug,Status,,,10,User recovers half its max HP.
Healing Wish,Psychic,Status,,,10,The user faints and the next Pokémon released is fully healed.
Heart Swap,Psychic,Status,,,10,Stat changes are swapped with the opponent.
Ice Fang,Ice,Physical,65,95,15,May cause flinching and/or freeze opponent.
Ice Shard,Ice,Physical,40,100,30,User attacks first.
Iron Head,Steel,Physical,80,100,15,May cause flinching.
Judgment,Normal,Special,100,100,10,Type depends on the Arceus Plate being held.
Last Resort,Normal,Physical,140,100,5,Can only be used after all other moves are used.
Lava Plume,Fire,Special,80,100,15,May burn opponent.
Leaf Storm,Grass,Special,130,90,5,Sharply lowers user's Special Attack.
Lucky Chant,Normal,Status,,,30,Opponent cannot land critical hits for 5 turns.
Lunar Dance,Psychic,Status,,,10,The user faints but the next Pokémon released is fully healed.
